Licensee,DBA,License #,Street Address ,City,Zip
LIGHTSHADE LABS LLC,LIGHTSHADE,402-00405,330 South Dayton Street,Denver,80247
LIGHTSHADE LABS LLC,LIGHTSHADE,402-00603,3950 North Holly Street,Denver,80207
LIGHTSHADE LABS LLC,LIGHTSHADE,402-00970,1126 South Sheridan Boulevard,Denver,80232
LIGHTSHADE LABS LLC,LIGHTSHADE,402-01221,1445 South Pearl Street,Denver,80210
LITTLE BROWN HOUSE DISPENSARY LLC,LITTLE BROWN HOUSE,402-00294,1995 South Broadway,Denver,80210
LITTLE GREEN PHARMACY INC,LITTLE GREEN PHARMACY,402-00675,1331 South Broadway,Denver,80210
LITTLE MAN 54 LLC,TOKIN,402-01039,3819 North Quentin Street,Denver,80239
LIVWELL III LLC,LIVWELL,402-00666,1941 West Evans Avenue,Denver,80223
LOST CREEK VENTURES INC,BONFIRE CANNABIS COMPANY,402-01146,"4837 North Washington Street, Suite 100",Denver,80216
LOTUS MEDICAL LLC,,402-00317,"1444 Wazee Street, #115",Denver,80202
LYONS FINEST CONFIDENTIAL CARE LLC,TUMBLEWEED,402-00900,11080 East 47th Avenue,Denver,80239
MAYFLOWER GROUP LLC,THE HEALTH CENTER,402-00558,1736 Downing Street,Denver,80218
MEDICAL CANNABIS COLORADO LLC,CURE COLORADO,402-00721,"6200 East Yale Avenue, Unit B",Denver,80222
MEDICINAL WELLNESS CENTER LLC,OASIS CANNABIS SUPERSTORE,402-00829,6359 East Evans Avenue,Denver,80222
METRO CANNABIS INC,SILVER STEM FINE CANNABIS,402-00075,8151 East Colfax Avenue,Denver,80220
MHFS LLC,GOOD CHEMISTRY,402-01264,2563 15th Street Suite 103,Denver,80211
MILE HIGH DISPENSARY LLC,MILE HIGH DISPENSARY,402-00304,"1350 South Sheridan Boulevard, Unit 1&2",Denver,80232
MILE HIGH MEDICAL CANNABIS LLC,LIT,402-00501,1630 North Federal Boulevard,Denver,80204
MILE HIGH MEDICAL LLC,MMJ AMERICA UPTOWN,402-00288,2042 Arapahoe Street,Denver,80205
MILE HIGH WELLNESS II LLC,MILE HIGH WELLNESS-GREEN STREET,402-00192,2291 South Kalamath Street,Denver,80223
MJLQ LLC,WHOLE MEDS,402-00933,3450 Brighton Boulevard,Denver,80216
MJM HOLDINGS LIMITED,STICKY FINGERZ,402-01076,3954 Williams Street,Denver,80205
MMJ CHEROKEE LLC,MMJ AMERICA CHEROKEE,402-01089,1155 South Cherokee Street,Denver,80223
MMRD LLC,,402-01271,1250 Grant Street,Denver,80203
NATURE MED INC,KIND MEDS,402-00945,260 North Santa Fe Drive,Denver,80223
NATURES CURE III LLC,THE COLFAX POT SHOP,402-00431,1500 East Colfax Avenue,Denver,80218
NEW AGE ALTERNATIVE LLC,,402-01250,2000 South Dahlia Street #250B,Denver,80222
NEW AMSTERDAM ORGANICS LTD,NEW AMSTERDAM ORGANICS,402-01014,150 Rio Grande Boulevard,Denver,80223
NUTRITIONAL ELEMENTS LLC,THE HEALTH CENTER,402-00891,2777 South Colorado Boulevard,Denver,80222
OG MEDICINALS LLC,,402-00060,4995 Lima Street,Denver,80239
PEAK HOLDINGS GROUP LLC,PEAK DISPENSARY,402-00408,260 Broadway,Denver,80203
PERSONALIZED ORGANIC TREATMENTS LLC,CANNA BOTICA,402-00691,219 North Vallejo Street,Denver,80223
PHYSICIAN PREFERRED PRODUCTS LLC,DOCS APOTHECARY,402-01260,4080 Globeville Road,Denver,80216
PINEAPPLE EXCHANGE LLC,PINEAPPLE EXCHANGE,402-01038,2895 West 8th Avenue,Denver,80204
PLATTE VALLEY DISPENSARY LLC,PLATTE VALLEY DISPENSARY,402-00588,2301 7th Street Suite B,Denver,80211
POTCO LLC,POTCO,402-00877,11101 East 51st Avenue,Denver,80239
PRIMA BRANDS LLC,PRIMA CANNABIS COMPANY,402-00495,4571 North Ivy Street,Denver,80216
RD INDUSTRIES II LLC,HOUSE OF DANKNESS,402-00403,10555 East 45th Avenue,Denver,80239
RIA HOLDINGS LIMITED,LAUGHING GRASS,402-01186,"1110 West Virginia Avenue, Unit 1",Denver,80223
RINO SUPPLY CO INC,RINO SUPPLY COMPANY,402-00793,3100 Blake Street,Denver,80205
RIVERROCK LLC,RIVERROCK,402-00150,4935 York Street,Denver,80216
RJJ HIGHLANDS LLC,NATIVE ROOTS HIGHLANDS,402-00637,2209 West 32nd Avenue,Denver,80211
RJJ SANTA FE LLC,NATIVE ROOTS SANTA FE,402-01070,"2645 South Santa Fe Drive, Units D & E",Denver,80223
RJJ SHERIDAN LLC,NATIVE ROOTS LITTLETON,402-00977,7870 West Quincy Avenue,Denver,80123
RJJ TOWER LLC,NATIVE ROOTS DENVER AIRPORT,402-00417,7050 North Tower Road,Denver,80249
RME GROUP LLC,AFFINITY,402-00281,7739-7741 East Colfax Avenue,Denver,80220
ROYAL ASSET MANAGEMENT LLC,DIEGO PELLICER,402-01120,2949 West Alameda Avenue,Denver,80219
SIMPLY PURE EDIBLES COLORADO LLC,SIMPLY PURE EDIBLES,402-00971,2160 South Lipan Street,Denver,80223
SISSCO LLC,TRENCHTOWN,402-00566,734 Sheridan Boulevard,Denver,80214
SMOKED COLORADO INC,MIGHTY TREE,402-01030,2268 South Delaware Street,Denver,80223
SOUTHWEST ALTERNATIVE CARE LLC,,402-00664,"3937 West Colfax Avenue,",Denver,80204
STANDING AKIMBO LLC,,402-00729,3801 Jason Street,Denver,80211
STONE T.M.C. LLC,THE STONE DISPENSARY,402-00830,4820 Morrison Road,Denver,80219
SUMMIT WELLNESS,DENREC DENVER RECREATIONAL DISPENSARY,402-00039,2042 South Bannock Street,Denver,80223
SWEETWATER PARTNERS LLC,GOOD CHEMISTRY,402-00680,330 East Colfax Avenue,Denver,80203
SWEETWATER PARTNERS LLC,GOOD CHEMISTRY,402-00681,1724 South Broadway,Denver,80210
TESLA LLC,,402-01185,4155 Grape Street,Denver,80216
THE GIVING TREE OF DENVER LLC,,402-00193,2707 West 38th Avenue,Denver,80211
THE HERBAL CURE LLC,,402-00507,985 South Logan Street,Denver,80209
THE PURPLE DRAGON LLC,,402-00024,2243 Federal Boulevard,Denver,80211
TOP SHELF LLC,TOP SHELF,402-01158,135 South Broadway Street Unit C,Denver,80209
TREATMENTS UNLIMITED LLC,ALTITUDE EAST,402-00265,6858 East Evans Avenue,Denver,80224
TRILL EVOLUTIONS LLC,TRILL EVOLUTIONS,402-01104,5550 Joliet Street,Denver,80239
TWOG FEDERAL LLC,BUDDY BOY,402-00690,2426 South Federal Boulevard,Denver,80216
TWOG-WALNUT LLC,BUDDY BOY,402-00118,3814 Walnut Street,Denver,80205
TWOG-YORK LLC,BUDDY BOY,402-00249,5050 North York Street,Denver,80216
UNIQUEITMINDS INC,CHRONORADO,402-00324,"6625 Leetsdale Drive, Suite A",Denver,80224
UNIVERSAL HERBS LLC,UNIVERSAL HERBS,402-00370,800 Park Avenue West,Denver,80205
UNIVERSAL HERBS LLC,UNIVERSAL HERBS,402-01142,755 South Jason Street Unit 100,Denver,80223
URBAN CANNABIS II LLC,HEALING HOUSE,402-00355,2383 South Downing Street,Denver,80210
URBAN HEALTH & WELLNESS INC,URBAN DISPENSARY,402-00493,2675 West 38th Avenue,Denver,80211
WANNA LLC,NORTHERN LIGHTS CANNABIS CO,402-00035,183 West Alameda Avenue,Denver,80223
WASH PARK BOUTIQUE LLC,LUCY SKY CANNABIS BOUTIQUE,402-00951,2215 East Mississippi Avenue,Denver,80210
WASH PARK BOUTIQUE LLC,LUCY SKY CANNABIS BOUTIQUE,402-01101,2394 South Broadway,Denver,80210
WASH PARK BOUTIQUE LLC,LUCY SKY DISPENSARY,402-01193,"3480 South Galena Street, Unit B-4",Denver,80231
WDG INC,BEMINDFUL,402-00703,5926 East Colfax Avenue,Denver,80220
WEISS & COMPANY LLC,,402-01263,3722 Chestnut Place,Denver,80216
WELLNESS CENTER OF THE ROCKIES INC,,402-00956,6853 Leetsdale Drive,Denver,80224
DJR COLORADO LLC,HIGH LEVEL HEALTH,402-00229,1221 County Road 308,Dumont,80436
SOFA KING MEDICINAL WELLNESS PRODUCTS LLC,SKM,402-00377,1181 County Road 308,Dumont,80436
ANIMAS HERBAL WELLNESS CENTER INC,PROHIBITION HERB,402-00953,1185 Camino Del Rio,Durango,81301
DURANGO ORGANICS LLP,,402-00532,"72 Suttle Street, Suite F",Durango,81303
SWEET LEAF PIONEER LLC,,402-00614,825 A Chambers Avenue,Eagle,81631
PIONEER INTERESTS SHERIDAN LLC,NORTHERN LIGHTS CANNABIS CO,402-00260,"2045 Sheridan Boulevard, Unit B",Edgewater,80214
PRIMA BRANDS LLC,PRIMA CANNABIS COMPANY,402-00211,2553 Sheridan Boulevard,Edgewater,80214
RJJ EDGEWATER LLC,NATIVE ROOTS EDGEWATER,402-00972,5610 West 20th Avenue,Edgewater,80214
BGOOD VENTURES LLC,BGOOD APOTHECARY,402-01238,"11 West Hampden Avenue, Suite 102",Englewood,80110
HERBAL OPTIONS LLC,GOOD MEDS,402-00736,"3431 South Federal Boulevard, Unit G",Englewood,80110
NATURES KISS CANNABIS SERVICES HEALTH & WELLNESS LLC,NATURES KISS,402-00424,4332 South Broadway,Englewood,80113
BGOOD VENTURES LLC,BGOOD APOTHECARY,402-01126,"8860 Federal Boulevard, Unit #66E",Federal Heights,80260
GREEN SATIVA LLC,,402-01122,"8411 Pecos Street, Unit H",Federal Heights,80260
LIGHTSHADE LABS LLC,LIGHTSHADE,402-01255,9364 Federal Boulevard,Federal Heights,80260
ACES PLACE LLC,,402-00929,"1101 Academy Court, Unit 4",Fort Collins,80524
CHOICE ORGANICS INC,,402-00146,"813 Smithfield Drive, Units A & B",Fort Collins,80524
ELITE ORGANICS LLC,ELITE ORGANICS,402-00861,"804 South College Avenue, Suite C",Fort Collins,80524
FLOWER POWER BOTANICALS LLC,,402-00556,1308 -1310 Duff Drive,Fort Collins,80524
GREEN MEDICALS WELLNESS CENTER #5 LLC,SMOKEYS,402-00858,"5740 South College Avenue, Unit C",Fort Collins,80525
KIND CARE OF COLORADO LLC,KIND CARE OF COLORADO,402-00841,6617 South College Avenue Building A,Fort Collins,80525
LIVWELL VII LLC,LIVWELL,402-00837,900 North College Avenue,Fort Collins,80524
NATURAL ALTERNATIVES FOR HEALTH LLC,,402-00887,6712 South College Avenue,Fort Collins,80525
ORGANIC ALTERNATIVES INC,ORGANIC ALTERNATIVES,402-00844,346 East Mountain Avenue,Fort Collins,80524
SOLACE MEDS LLC,,402-00842,"301 Smokey Street, Unit A",Fort Collins,80525
THE GREEN SOLUTION LLC,,402-00839,810 North College Avenue,Fort Collins,80524
VERTS LLC,VERTICAL,402-00840,"1240 West Elizabeth Street, Unit C and D",Fort Collins,80521
ZENGOLDS LLC,,402-00958,"5739 Bueno Drive, Suite D1",Fort Collins,80525
SOUTHERN COLORADO CANNABIS CLUB LLC,,402-01139,29577 Highway 159,Fort Garland,81133
RJJ FRISCO LLC,NATIVE ROOTS FRISCO,402-00905,861 North Summit Boulevard,Frisco,80443
CANNABIS CARE WELLNESS CENTERS LLC,SMOKEY'S,402-00419,2515 7th Avenue,Garden City,80631
LIVWELL I LLC,LIVWELL,402-00903,2647 8th Avenue Suite B,Garden City,80631
NATURES HERBS & WELLNESS CENTER,NATURES HERBS & WELLNESS CENTER,402-00062,522 27th Street,Garden City,80631
AREN & DAVES DREAM LLC,SERGEANT GREEN LEAF,402-00737,1410 Argentine Street,Georgetown,80444
IEROS LLC,LIFE FLOWER DISPENSARY LLC,402-00613,4966 Leetsdale Drive,Glendale,80246
KIND LOVE LLC,KIND LOVE,402-00925,4380 East Alameda Avenue,Glendale,80246
YUMA WAY LLC,CHERRY PEAK,402-01166,"4601 East Mississippi Avenue,",Glendale,80246
COLORADO PRODUCT SERVICES LLC,DOCTORS GARDEN,402-00542,716 Grand Avenue,Glenwood Springs,81601
GLENWOOD STATION LLC,The Station,402-01302,172 West 6th Street,Glenwood Springs,81601
GREEN MEDICINE LLC,GREEN MEDICINE WELLNESS,402-00551,1030 Grand Avenue,Glenwood Springs,81601
ROCKY MOUNTAIN ORGANIC MEDICINE INC,,402-00251,511 Orchard Street,Golden,80401
HERBAL WELLNESS LLC,,402-00698,"400 West South Boulder Road, Suite 2700",Lafayette,80026
NINE POUND HAMMER LLC,IGADI,402-01251,1325 South Public Road,Lafayette,80026
COMPASSIONATE ENTERPRISES LLC,THE CLINIC ON WADSWORTH,402-00940,"3600 South Wadsworth Boulevard, Units D & E,",Lakewood,80235
CPM LAKEWOOD LLC,AJOYA MEDICAL CANNABIS,402-00326,11950 West Colfax Avenue,Lakewood,80215
D & D CONSULTING INC,KAYA CANNABIS,402-00323,"12018 West Jewell Avenue, Unit C",Lakewood,80228
HEALING HOUSE LAKEWOOD LLC,ASCEND CANNABIS CO,402-00313,10712 West Alameda Avenue,Lakewood,80226
JET BLACK ENTERPRISES LLC,LEIFFA,402-00374,7063 West Colfax Avenue,Lakewood,80214
KIND PAIN MANAGEMENT INC,KIND PAIN MANAGEMENT,402-00635,2636 Youngfield Street,Lakewood,80215
LEVELS IV INC,LEVELS IV INC,402-00555,389 Wadsworth Boulevard,Lakewood,80226
MW INDUSTRY LLC,CROSS GENETICS,402-00825,"6745 West Mississippi Avenue, Suite B",Lakewood,80226
ROCKY MOUNTAIN WAYS LLC,GOOD MEDS,402-00738,8420 West Colfax Avenue,Lakewood,80215
VERTICAL INVESTMENT GROUP LLC,STELLAR CANNABIS CO,402-00209,"1395 South Sheridan Boulevard, Units F, G, H & I",Lakewood,80232
ASCEND LITTLETON LLC,ASCEND CANNABIS CO,402-00978,"5231 South Santa Fe Drive, Suite 100",Littleton,80120
I & S LLC,SILVER STEM FINE CANNABIS,402-00452,1086 West Littleton Boulevard,Littleton,80120
METRO DENVER TELLURIDE HEALTH CENTER LLC,THE HEMP CENTER,402-00602,5744 South Datura Street,Littleton,80120
NATURES HERBS & WELLNESS CENTER II LLC,,402-00973,17216 North Frontage Road,Log Lane Village,80705
ANCIENT ALTERNATIVES LLC,GREEN TREE MEDICINALS,402-01085,12626 North 107 Street,Longmont,80504
RJJ LONGMONT LLC,NATIVE ROOTS LONGMONT,402-00961,19 South Sunset Street,Longmont,80501
YUMA WAY LLC,TWIN PEAKS DISPENSARY,402-01278,900 South Hover Street Unit A,Longmont,80501
ZENGOLDS LLC,,402-00410,4497 Ute Highway,Longmont,80503
COMPASSIONATE PAIN MANAGEMENT LLC,AJOYA,402-00325,"1100 West Dillion Road, Unit D-3",Louisville,80027
BBM ENTERPRISES LLC,,402-00206,"138 Main Street, Unit 6B",Lyons,80540
LYONS FINEST CONFIDENTIAL CARE LLC,TUMBLEWEED,402-00274,4071 Ute Highway,Lyons,80540
MAGGIES FARM LLC,,402-01115,141 Manitou Avenue,Manitou Springs,80829
1-11 LLC,ONE:ELEVEN,402-01197,17034 Highway 17,Moffat,81143
GREEN MEADOWS DISPENSARY LLC,,402-00490,23360 South Highway 550,Montrose,81403
P & C EXPRESS LLC,,402-00579,305 Jody Court,Montrose,81401
O LIMITED,SILVER STEM FINE CANNABIS,402-00831,"1 West 1st Street, Suite 1D",Nederland,80466
BOTANACARE LLC,B GOOD,402-00832,"11450 Cherokee Street, Unit A7",Northglenn,80234
GREEN LIFE SOLUTIONS LLC,GREEN TREE MEDICINALS,402-00874,"10575 Melody Drive, Suite 101",Northglenn,80234
PHYSICIAN PREFERRED PRODUCTS LLC,DOCS APOTHECARY,402-00633,"2100 East 112th Avenue, Unit 5",Northglenn,80233
COLORADO ALTERNATIVE HEALTH CARE LTD,PALISADES HEALTH CARE INC,402-00097,"125 Peach Avenue, Suite B",Palisade,81526
AMERICAN WHOLESALE LLC,PALMER LAKE WELLNESS CENTER,402-00444,855 Highway 105,Palmer Lake,80133
ALTERNATIVE MEDICAL REMEDIES LLC,ALTERNATIVE MEDICAL REMEDIES,402-00091,1450 L Street,Penrose,81240
1917 SANTA FE LLC,,402-00980,1917 Santa Fe Drive,Pueblo,81006
COLORADO BEST BUDZ LLC,,402-00974,"23344 Highway 50 East, Unit B",Pueblo,81006
EARTH SOLUTIONS INC,CANNA CABINET INC,402-00993,"2630 West Pueblo Boulevard, Suite E",Pueblo,81004
NATIONAL GREEN SOURCE LLC,THE GREEN SOURCE,402-01243,286 South Purcell Boulevard,Pueblo,81007
NUVUE PHARMA LLC,,402-01062,4740 Dillon Drive,Pueblo,81008
SCEPTER GROUP LLC,LIVWELL,402-01307,2565 North Interstate 25,Pueblo,81008
SEVEN-ONE-NINE LLC,,402-01011,2729 Farabaugh Lane,Pueblo,81004
STEM BEACH DISPENSARY LLC,DOCTORS ORDERS,402-01127,3321 South I-25,Pueblo,81004
THREE RIVERS DEVELOPMENT LLC,THREE RIVERS DISPENSARY,402-01005,1714 Santa Fe Drive,Pueblo,81006
WESTSIDE WELLNESS CENTER LLC,MAGGIES FARM,402-00988,"1400  Santa Fe Drive, Suite A & B",Pueblo,81006
COLORADO DISTRIBUTING LLC,THE DISPO,402-00975,893 East Enterprise Drive,Pueblo West,81007
FIPG LLC,,402-01040,"67 North Silicon Drive, Suite 130,",Pueblo West,81007
HIGH DEMAND LLC,TERPS,402-00946,38 North Silicon Drive,Pueblo West,81007
MAGGIES FARM LLC,,402-00899,74 North Component Drive Suite 170,Pueblo West,81007
MARISOL THERAPEUTICS LLC,,402-00938,"922 East Kimble Drive,",Pueblo West,81007
ORGANIC SOLUTIONS INC,STEEL CITY MEDS,402-00866,74 North McCulloch Boulevard Suite 120,Pueblo West,81007
PUEBLO WEST ORGANICS LLC,PUEBLO WEST ORGANICS,402-00910,"609 East Enterprise Drive, Suite 140",Pueblo West,81007
MOUNTAIN ANNIES LLC,,402-00833,"157 Highway 550, Suite B",Ridgway,81432
HERBAL OUTFITTERS LLC,THE GREEN JOINT,402-00008,"2102 Airport Road, Suite A",Rifle,81650
RANGE LLC,EVERBLOOM,402-00966,"1150 Railroad Avenue, Units A&B",Rifle,81650
ROCKY FARMS LLC,ROCKY FARMS,402-01211,1709 Swink Avenue,Rocky Ford,81067
ROCKY FORD STATION LLC,THE STATION,402-01291,1701 Elm Avenue,Rocky Ford,81067
LA CASA CANNA BIS INC,,402-00122,205 Main Street,San Luis,81152
DACONO MEDS LLC,SEDGWICK ALTERNATIVE RELIEF,402-00739,107 Main Avenue,Sedgwick,80749
TZ FINANCIAL LLC,HIGH COUNTRY HEALING,402-00228,"191 Blue River Parkway, Suite 103",Silverthorne,80498
D AND C MEDICAL MARIJUANA LLC,GOLDEN LEAF,402-00481,1755 Lincoln Avenue,Steamboat Springs,80487
GATSBY HOLDINGS LLC,BILLO,402-00773,2093 Curve Plaza Unit C-103,Steamboat Springs,80487
RK ENTERPRISES LTD,ROCKY MOUNTAIN REMEDIES,402-00080,"2730 Downhill Plaza, Unit 106",Steamboat Springs,80487
IGADI LTD,IGADI,402-00989,"72399 US Highway 40, Unit B",Tabernash,80478
TELLURIDE GREEN ROOM LLC,TELLURIDE GREEN ROOM,402-00474,"250 South Fir Street, Units 5 & 6",Telluride,81435
FREEDOM ROAD GARDEN LTD,FREEDOM ROAD,402-01100,2600 Freedom Road,Trinidad,81082
M&M DISTRIBUTING LLC,,402-00949,422 North Commercial Steet,Trinidad,81082
TRINIDAD HARVESTING COMPANY LLC,,402-01217,3601 Freedom Road,Trinidad,81082
TRINIDADS HIGHER CALLING U LLC,,402-00992,1000 Independence Road,Trinidad,81082
MONTE FIORE LLC,PROVISIONS,402-01284,10232 Interstate 25,Walsenburg,81089
10185 RIDGE LLC,EVERBLOOM,402-00967,10185 West 49th Avenue,Wheat Ridge,80033
MEDICAL MJ SUPPLY LLC,BEST COLORADO CANNABIS,402-00385,4800 Lamar Street,Wheat Ridge,80033
OPTIONS MEDICAL CENTER WR LLC,OPTIONS,402-01015,9085 West 44th Avenue,Wheat Ridge,80033
SOLACE MEDS OF WHEAT RIDGE LLC,,402-00386,4845 Van Gordon Street,Wheat Ridge,80033
